"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bosnia and Herzegovina","BIH","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1577.4833806624","1416.82900102755","1050.6167812833","949.289118923978","385.207810762141","402.138722444913","450.357723524427","670.543668952792","818.903187407795","802.329947245603","1044.83032752066","1004.95066006105","1052.10768786264","1052.76815633322","1161.36225812454","1230.32229950965","1304.39455421949","1321.60129723785","1510.20925021027","1602.5317512912","1700.48373318065","1909.67028647304","1821.21222097011","1787.39246392599","1682.31287779308","1755.04377103361","1945.25475764264","1966.74296405564","2205.40019359849","2157.71633026544","2152.73018925591","2267.26088940872","2270.72637629896","2171.0481914264","","",
"Belarus","BLR","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4457.4379398096","4341.55699714217","3619.90821413806","3078.21614120512","2618.94615391899","2431.09978098082","2506.79637741155","2511.70284864681","2472.95575538019","2419.74819135878","2471.64424935802","2496.01811483439","2560.5012580496","2652.43981373496","2760.11626065827","2776.99847069087","2974.24553406449","2925.85288440163","2939.40597422615","2789.00314061154","2895.6108099575","3081.68018120351","3219.42653369693","2870.32580279278","2923.57682069269","2660.14026759548","2639.09486268036","2692.58344898873","2849.29477344053","2748.96883661007","2673.86548599188","2929.16750076532","2862.48962279083","2856.48127583212","","",
"Belize","BLZ","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","580.1852782451","","","","","","","","","","","","","","570.507346662348","575.5529419335","597.475319406137","601.148260722729","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360.663520476773","363.520178605686","377.234087378018","396.453818977116","430.219973488726","474.617697341087","520.943557851368","560.060715697775","557.889760775457","536.548837322983","424.500168226749","444.570211427174","520.02460059481","524.195846978688","523.194773521656","567.499087794803","568.374975147183","570.342486679355","572.268566916802","586.29382437989","625.50781114153","660.409165317164","703.774758318729","699.381562017113","757.580156073069","748.898977219603","779.010093756017","800.932396505253","803.167323356965","795.587766798846","657.789938372448","757.897180576978","799.661765658889","847.306714580511","","",
"Brazil","BRA","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","942.317182249676","943.263545697103","937.431462820155","945.489101780969","980.074664998028","998.777374735819","1035.82555427523","1072.29461426603","1082.21810429873","1091.29495874763","1081.36193393467","1086.99299318566","1103.40127916211","1107.9739157885","1157.16905577095","1173.71585743449","1202.05933940304","1259.91135986965","1317.23578420454","1262.10043812649","1384.36896688389","1390.00783643031","1433.15306444735","1487.45745839708","1522.42189026812","1482.02057858653","1414.8979311951","1431.95949698072","1403.40232453429","1415.83477031974","1379.24649914162","1430.3934661032","1432.72741132919","1481.22439922518","1511.62383133688","",
"Barbados","BRB","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1245.20778708495","","","","","","","","","","","","","","1402.92856661853","1451.40041532381","1474.06315508774","1478.1339388399","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6766.20265813163","7438.26203761683","7783.23273590893","7299.53266292428","6603.06657909867","7718.4147112912","7585.30865702678","7652.68069432589","7448.31277617827","7427.44777738284","7306.50805505588","6624.44570244008","6344.70953602184","7227.93461469148","6509.41375687627","6180.90186134327","8644.25613377398","8703.6654696927","9379.39547102847","7906.16450304433","8261.092768512","9699.3002516897","9446.07290658886","7399.88850699904","8529.79303823974","6437.00247398227","7008.28171997556","8385.25858976533","8304.04242825767","9219.80339333238","9175.89257228992","8962.62325631033","9894.81949906257","8658.00697644634","","",
"Bhutan","BTN","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.9875832998183","","","","","","","","","","","","","","276.691507415332","308.219954220272","314.550260212075","359.542084843091","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933.106112523037","924.832809645353","1036.20295145007","1009.96722747675","967.997722997679","965.686795328275","919.406030956662","942.69977403279","1040.82117578293","1060.65518051418","1076.29894611858","1065.31507424359","1070.98263332341","1046.96232444977","1075.84312421235","1096.31104775422","1108.59481786635","1124.09478175505","1163.78534932685","1061.94099275505","1140.27710559605","1086.79671897531","1189.34918697362","1200.29802966499","1330.94509587787","1285.41275605001","1245.84246824176","1315.80107269841","1305.3130239183","1202.88221787146","1120.17283292873","1149.11419904777","1286.46723695541","1249.83080453765","","",
